site_number	 element 	 time 	 value 	 unit 
03036240	Ca	2006-06-19 13:15:00	773.491691202	mmol/L
03036240	Ca	2006-07-20 10:30:00	1032.98567793	mmol/L
03036240	Ca	2006-08-17 12:45:00	1207.64509207	mmol/L
03036240	Ca	2006-09-21 10:40:00	691.152253106	mmol/L
03036240	Ca	2006-10-05 09:45:00	880.782474175	mmol/L
03036240	Ca	2006-11-13 13:00:00	451.619342283	mmol/L
03036240	Ca	2006-12-13 13:00:00	628.773890913	mmol/L
03036240	Ca	2007-01-25 09:15:00	578.871201158	mmol/L
03036240	Ca	2007-03-19 14:00:00	441.638804332	mmol/L
03036240	Ca	2007-04-17 10:45:00	369.279904187	mmol/L
03036240	Ca	2007-05-16 10:30:00	673.686311692	mmol/L
03036240	Ca	2007-06-06 12:30:00	820.899246469	mmol/L
03036240	Ca	2007-07-10 12:30:00	1070.41269524	mmol/L
03036240	Ca	2007-08-14 10:45:00	998.0537951	mmol/L
03036240	Ca	2007-09-25 16:00:00	1210.14022656	mmol/L
03036240	Ca	2007-10-11 13:00:00	1369.82883377	mmol/L
03036240	Ca	2007-11-14 10:15:00	618.793352962	mmol/L
03036240	Ca	2007-12-10 13:30:00	359.299366236	mmol/L
03036240	Ca	2008-01-16 11:00:00	454.11447677	mmol/L
03036240	Ca	2008-02-27 13:30:00	484.056090623	mmol/L
03036240	Ca	2008-03-17 11:30:00	369.279904187	mmol/L
03036240	Ca	2008-04-16 12:00:00	449.124207795	mmol/L
03036240	Ca	2008-05-20 10:45:00	386.745845601	mmol/L
03036240	Ca	2008-06-24 10:30:00	576.37606667	mmol/L
03036240	Ca	2008-07-16 11:15:00	1027.99540895	mmol/L
03036240	Ca	2008-08-20 12:45:00	1205.14995758	mmol/L
03036240	Ca	2008-09-17 11:00:00	1042.96621588	mmol/L
03036240	Ca	2008-10-07 11:15:00	1337.39208543	mmol/L
03036240	Ca	2008-11-17 13:00:00	850.840860322	mmol/L
03036240	Ca	2008-12-15 10:30:00	454.11447677	mmol/L
03036240	Ca	2009-02-18 11:00:00	486.551225111	mmol/L
03036240	Ca	2009-03-09 13:30:00	311.891810969	mmol/L
03036240	Ca	2009-04-27 10:30:00	466.590149209	mmol/L
03036240	Ca	2009-05-20 09:00:00	676.18144618	mmol/L
03036240	Ca	2009-06-22 12:00:00	411.697190479	mmol/L
03036240	Ca	2009-07-20 10:30:00	748.540346325	mmol/L
03036240	Ca	2009-08-19 13:00:00	990.568391636	mmol/L
03036240	Ca	2009-09-21 11:00:00	1003.04406408	mmol/L
03036240	Ca	2009-10-19 15:00:00	551.424721793	mmol/L
03036240	Ca	2009-11-17 15:00:00	763.511153251	mmol/L
03036240	Ca	2009-12-14 11:20:00	399.22151804	mmol/L
03036240	Ca	2010-01-26 13:30:00	354.30909726	mmol/L
03036240	Ca	2010-03-23 11:00:00	536.453914866	mmol/L
03036240	Ca	2010-04-14 12:15:00	681.171715155	mmol/L
03036240	Ca	2010-05-17 10:15:00	489.046359599	mmol/L
03036240	Ca	2010-06-02 13:00:00	538.949049354	mmol/L
03036240	Ca	2010-07-26 11:45:00	683.666849643	mmol/L
03036240	Ca	2010-08-25 10:30:00	1197.66455412	mmol/L
03036240	Ca	2010-09-13 13:00:00	1532.01257548	mmol/L
03036240	Ca	2010-10-26 14:00:00	1020.51000549	mmol/L
03036240	Ca	2010-11-16 14:30:00	743.550077349	mmol/L
03036240	Ca	2010-12-15 13:15:00	501.522032038	mmol/L
03036240	Ca	2011-02-16 15:30:00	439.143669844	mmol/L
03036240	Ca	2011-03-22 09:45:00	531.463645891	mmol/L
03036240	Ca	2011-04-12 09:15:00	429.163131893	mmol/L
03036240	Ca	2011-05-18 10:00:00	369.279904187	mmol/L
03036240	Ca	2011-06-21 10:00:00	818.404111982	mmol/L
03036240	Ca	2011-07-26 09:00:00	593.842008084	mmol/L
03036240	Ca	2011-08-31 11:30:00	1023.00513998	mmol/L
03036240	Ca	2011-09-20 11:00:00	711.113329008	mmol/L
03036240	Ca	2011-10-11 12:00:00	638.754428864	mmol/L
03036240	Ca	2011-11-07 10:30:00	538.949049354	mmol/L
03036240	Ca	2011-12-13 08:30:00	506.512301013	mmol/L
03036240	Ca	2012-01-10 08:00:00	461.599880234	mmol/L
03036240	Ca	2012-02-07 11:30:00	521.48310794	mmol/L
03036240	Ca	2012-03-22 17:00:00	424.172862917	mmol/L
03036240	Ca	2012-04-24 09:30:00	371.775038675	mmol/L
03036240	Ca	2012-05-09 10:00:00	247.018314287	mmol/L
03036240	Ca	2012-06-06 08:30:00	563.900394231	mmol/L
03036240	Ca	2012-07-10 09:00:00	980.587853685	mmol/L
03036240	Ca	2012-08-08 09:00:00	768.501422227	mmol/L
03036240	Ca	2012-09-27 11:45:00	603.822546035	mmol/L
03036240	Ca	2012-10-10 10:00:00	698.63765657	mmol/L
03036240	Ca	2012-11-28 12:00:00	646.239832327	mmol/L
03036240	Ca	2012-12-12 09:30:00	291.930735067	mmol/L
03036240	Ca	2013-01-14 10:30:00	289.435600579	mmol/L
03036240	Ca	2013-02-20 09:30:00	464.095014721	mmol/L
03036240	Ca	2013-03-05 12:30:00	386.745845601	mmol/L
03036240	Ca	2013-04-03 13:30:00	406.706921503	mmol/L
03036240	Ca	2013-05-21 09:00:00	656.220370278	mmol/L
03036240	Ca	2013-06-19 08:30:00	643.744697839	mmol/L
03036240	Ca	2013-07-16 09:00:00	451.619342283	mmol/L
03036240	Ca	2013-08-07 07:30:00	593.842008084	mmol/L
03036240	Ca	2013-09-04 13:00:00	591.346873596	mmol/L
03036240	Ca	2013-10-23 08:30:00	538.949049354	mmol/L
03036240	Ca	2013-12-18 13:15:00	469.085283697	mmol/L
03036240	Ca	2014-03-25 10:59:00	2.49513448775	mmol/L
03036240	Ca	2014-04-09 12:00:00	374.270173162	mmol/L
03036240	Ca	2014-05-28 12:00:00	389.240980089	mmol/L
03036240	Ca	2014-06-24 13:00:00	501.522032038	mmol/L
01471805	Ca	2010-10-13 11:00:00	309.396676481	mmol/L
01471805	Ca	2010-11-22 15:00:00	291.930735067	mmol/L
01471805	Ca	2010-12-14 10:00:00	219.571834922	mmol/L
01471805	Ca	2011-01-24 11:00:00	309.396676481	mmol/L
01471805	Ca	2011-02-22 11:00:00	249.513448775	mmol/L
01471805	Ca	2011-03-24 13:30:00	212.086431459	mmol/L
01471805	Ca	2011-04-07 15:00:00	214.581565946	mmol/L
01471805	Ca	2011-05-23 10:30:00	239.532910824	mmol/L
01471805	Ca	2011-05-23 10:31:00	244.523179799	mmol/L
01471805	Ca	2011-06-14 13:00:00	261.989121214	mmol/L
01471805	Ca	2011-07-25 10:30:00	326.862617895	mmol/L
01471805	Ca	2011-09-26 10:30:00	234.542641848	mmol/L
01471805	Ca	2011-10-17 10:30:00	296.921004042	mmol/L
01471805	Ca	2011-11-07 12:30:00	264.484255701	mmol/L
01471805	Ca	2011-12-07 09:00:00	239.532910824	mmol/L
01471805	Ca	2012-01-18 10:00:00	222.06696941	mmol/L
01471805	Ca	2012-02-15 11:00:00	232.047507361	mmol/L
01471805	Ca	2012-03-05 12:00:00	227.057238385	mmol/L
01471805	Ca	2012-04-04 11:00:00	229.552372873	mmol/L
01471805	Ca	2012-05-07 12:30:00	266.979390189	mmol/L
01471805	Ca	2012-06-13 10:00:00	222.06696941	mmol/L
01471805	Ca	2012-07-09 12:00:00	291.930735067	mmol/L
01471805	Ca	2012-08-01 10:30:00	301.911273018	mmol/L
01471805	Ca	2012-09-26 16:30:00	306.901541993	mmol/L
01471805	Ca	2012-10-23 10:00:00	301.911273018	mmol/L
01471805	Ca	2012-11-13 11:30:00	237.037776336	mmol/L
01471805	Ca	2012-12-17 12:00:00	264.484255701	mmol/L
01471805	Ca	2013-01-15 14:00:00	244.523179799	mmol/L
01471805	Ca	2013-02-06 12:00:00	202.105893508	mmol/L
01471805	Ca	2013-03-25 13:30:00	222.06696941	mmol/L
01471805	Ca	2013-04-29 12:00:00	239.532910824	mmol/L
01471805	Ca	2013-05-29 12:30:00	249.513448775	mmol/L
01471805	Ca	2013-06-12 11:30:00	232.047507361	mmol/L
01471805	Ca	2013-07-08 09:30:00	261.989121214	mmol/L
01471805	Ca	2013-08-27 12:00:00	324.367483407	mmol/L
01471805	Ca	2013-09-09 12:00:00	296.921004042	mmol/L
01471805	Ca	2013-10-28 14:30:00	309.396676481	mmol/L
01471805	Ca	2013-11-25 13:00:00	319.377214432	mmol/L
01471805	Ca	2013-12-19 12:00:00	276.95992814	mmol/L
01471805	Ca	2014-02-04 13:00:00	244.523179799	mmol/L
01471805	Ca	2014-02-25 14:00:00	237.037776336	mmol/L
01471805	Ca	2014-03-10 11:30:00	254.50371775	mmol/L
01471805	Ca	2014-04-28 12:00:00	229.552372873	mmol/L
01471805	Ca	2014-05-22 09:00:00	237.037776336	mmol/L
01471805	Ca	2014-06-11 10:00:00	274.464793652	mmol/L
01548235	Ca	2010-10-26 14:30:00	114.776186436	mmol/L
01548235	Ca	2010-12-07 10:30:00	107.290782973	mmol/L
01548235	Ca	2011-01-24 14:30:00	129.746993363	mmol/L
01548235	Ca	2011-02-15 13:30:00	134.737262338	mmol/L
01548235	Ca	2011-03-23 09:45:00	92.3199760467	mmol/L
01548235	Ca	2011-04-12 10:00:00	89.824841559	mmol/L
01548235	Ca	2011-05-11 13:00:00	107.290782973	mmol/L
01548235	Ca	2011-06-08 10:00:00	119.766455412	mmol/L
01548235	Ca	2011-07-06 11:00:00	154.69833824	mmol/L
01548235	Ca	2011-08-09 14:00:00	174.659414142	mmol/L
01548235	Ca	2011-09-14 10:00:00	169.669145167	mmol/L
01548235	Ca	2011-10-04 09:30:00	114.776186436	mmol/L
01548235	Ca	2011-11-16 12:00:00	119.766455412	mmol/L
01548235	Ca	2011-12-05 13:30:00	104.795648485	mmol/L
01548235	Ca	2012-01-24 12:30:00	99.80537951	mmol/L
01548235	Ca	2012-02-14 11:00:00	109.785917461	mmol/L
01548235	Ca	2012-03-13 11:00:00	97.3102450222	mmol/L
01548235	Ca	2012-04-03 13:15:00	112.281051949	mmol/L
